Title,Summary,Date,Full_Article,Crime_Type,Locality,Personal_Characteristics
"a timeline of the snowiest blizzards in dc, maryland and virginia history","we take a look at the most impactful and snowy blizzard to hit dc, maryland and virginia, complete with an interactive timeline, video from our archives, photos and much more!",12/27/2023,"we are starting off winter this year with something we have not had since 2019 –measurable snow already on the record books for the season. now it is not much. dca only picked up 0.1"" of snow, but areas like sterling, va have already picked up more snow (0.5"") than they did all of last season. this is expected to be just a small taste of more snow to come this winter. this is an el niño winter, and those have a history of producing some big time snows here in the washington, dc region. for example, the last el niño winter produced one of top three largest blizzards in the history of city back in january of 2016. what storms beat out this monstrous blizzard? let's take a look back at the largest blizzards our area has ever seen... the most recent major blizzard to hit our region occurred 8 years ago in the middle of what was actually one of the warmest winters in dmv history. the powerful blizzard buried suburbs like north potomac, md in nearly 40"" of snow. over 100,000 people lost power as winds gusted over 50 mph. nationally, the storm caused ½ a billion dollars in damages and caused the deaths of 55 people. it was a category 5 blizzard on theregional snowfall index scale (rsi), the most extreme category. the storm that would go down in the history books as ""snowmageddon."" it was the most impactful blizzard of the snowiest winter in dmv history. the storm struck on a friday with heavy snow falling well into the morning hours of saturday. elkridge, md saw the highest snowfall totals with just over 38"" of snow, while dulles airport picked up just about 33"". a category 4 blizzard on the rsi scale, its impact was exacerbated a second blizzard on february 9-10 that added an additional foot of snow in many locations. this was the first storm of the monster 2009-2010 winter that would bring nearly 60"" of snow in total to the area. this blizzard remains the most intense to ever hit our area in the month of december. a category 4 blizzard on the rsi scale, this storm brought olney, md nearly two feet of snowfall in the days before christmas. enough snow fell that d.c. was still reporting over half a foot on the ground during christmas day. known to many as the presidents' day storm of 2003, this storm could have been significantly worse for the district had sleet not mixed in with the snow during the latter half of the storm. this rsi category 4 blizzard remains the snowiest on record for baltimore, where over 28"" of snow was measured officially. dc, boston, new york and places in-between picked up over a foot of snow, crippling the i-95 corridor. one of only three blizzards to ever receive a category 5 ranking on the rsi scale, this powerful storm dropped over two feet of snow at dulles airport, while parts of the west virginia mountains received four feet of snow. much of the i-81 corridor received over 30"" of snow. the storm is believed to have been a factor in a deadly metro crash at shady grove station. you can also view this look back on youtube. this blizzard, known as the ""megalopolitan blizzard of 1983,"" is remembered widely for its intense episodes of ""thundersnow,"" mostly across maryland during the height of the storm. germantown and frederick, md each received over 30"" of snow, while western loudoun county received as much as 3 feet. a category 4 blizzard on the rsi scale, the storm is also known for sinking a bulk carrier, the ss marine electric, off the virginia coastline, killing 31 crew. the original president's day blizzard, this storm was known for catching our region completely off guard. weather forecasting has come a long way since the 1970s, but back then the guidance available to weather forecasters did not show a major storm until about 24 hours prior to the first snow falling. after an initial snow of about 4,"" a rapidly intensifying nor’easter brought snowfall rates exceeding 5"" per hour to some locations, and areas within the beltway picked up nearly 2 feet of snow. another winter that featured two blizzards, though the second one in march 1958 mostly impacted areas farther northwest of the d.c. metro area, this blizzard was part of a powerful coastal nor’easter remembered as being one of the worst for portions of the interior northeast. the blizzard buried the dc-baltimore corridor in a widespread 1-2 feet of snow. coming in the midst of what remains the coldest february for the contiguous united states, the storm is remembered for it’s widespread heavy snows across the entirety of the mid-atlantic. even the lower eastern shore, which typically sees warm air aloft keep snowfall rates down due to ocean interference, picked up widespread 12-18"" of snowfall. extreme snow in the mountains followed by continued cold temperatures and a lack of melting were the precursors to the great spring flood of march 1936, which was one of the worst recorded flooding events for our region. what still stands as the snowiest single storm in dc area history happened over a century ago.now infamously known as the ""knickerbocker blizzard"" after the heavy snows caused the collapse of the roof of the knickerbocker theater, killing nearly 100 people who were attending a showing ofget-rich-quick wallingfordduring the height of the storm. it was an extremely rare case of a cutoff-low nor’easter, which caused the storm to move at nearly half the forward speed of a typical blizzard up the east coast. richmond (19""), washington, d.c. (28"") and baltimore (25"") were all paralyzed by widespread 2-3 feet snowfall amounts. this is the worst snowstorm in d.c. history that we have verified data for, though it should be noted that the washington-jefferson snowstorm of 1772 may have been greater, with estimates of widespread 30-36"" of snow made in the journals of the two great presidents. now remembered as the great blizzard of 1899, it occurred during one of the most extreme outbreaks of arctic air ever recorded in the united states, and remembered for just how widespread the snowfall was, particularly across areas of the southeast. snow showers were reported as far south as new orleans, la and tampa, fl. much of florida recorded record cold temperatures as the storm crossed, including miami falling to 29°f. following an initial blizzard on february 8th that dropped 14"" of snow, temperatures plummeted to their coldest on record including -15°f for downtown d.c. while quantico dropped to -20°f. a week later, this second and stronger blizzard added an additional nearly 21"" of snow. by the time the snow was done, d.c. had a official snow depth of 34"" (from both blizzards) which is a record that remains to this day. february of 1899 remains the snowiest month on record for d.c. with 35.2"" of snow. the winter of 1899 was so cold over the eastern united states that ice flowed from the mississippi river into the gulf of mexico. while the blizzard of 1993 did much more damage to the northeast, it had a significant impact on the dmv. download the fox 5 dc weather appto stay abreast of upcoming winter weather & as always,stay tuned to fox 5 dc & the weather team.",Not relevant,Not relevant ,Not relevant
protests at george washington university continue; house republicans criticize dc’s response,"pro-palestinian protests at george washington university in washington, d.c. have shown no signs of letting up as city leaders face criticism for their response as the demonstrations enter day seven.",,"washington-pro-palestinianprotests at george washington universityinwashington, d.c.have shown no signs of letting up as city leaders face criticism for their response as the demonstrations enter day seven. fox 5’s melanie alnwick says approximately 60 tents could be seen on the campus as of wednesday morning.  alnwick says h street remains shut down to vehicle traffic along the one block that crosses in front of university yard, but people can walk through freely to get to campus buildings during finals week. the university said it will move law school finals to a different building because of noise from the protests. read more:george washington university says no place for ‘hateful language’ amid israel-hamas war protests before dawn monday, demonstrators at the school tore down metal barricades confining them to university yard and set up more than a dozen tents in the street. on tuesday, house republicans virginia foxx and james comer wrote a letter to d.c. mayor muriel bowser and d.c. police chief pamela smith, criticizing their response to the protests. read more:nypd clear columbia campus protest; police break into occupied hamilton hall ""it is deeply disturbing that while gwu has attempted to take concrete measures to protect the safety of its jewish student body from persecution and harassment, it is hindered by the mpd's refusal to provide assistance clearing out the encampment, over fears of public criticism,"" the letter read. ""without assistance from the mpd, gwu is unable to clear the encampment and restore order because it lacks the manpower and jurisdiction to act on public land,"" the letter continued. ""the inaction of the mpd and the district of columbia is out of sync with police departments and local governments nationwide which have responded to similar requests for help from universities to clear out unlawful encampments in states such as missouri,' massachusetts,' and others."" read more:fights break out, firecrackers thrown at pro-palestine tents at ucla; minimal police intervention for 2 hours the local demonstrations come amid protests at colleges and universities across the u.s. over the israel-hamas war which was sparked oct. 7 by a raid into southern israel in which militants killed around 1,200 people, mostly civilians, and abducted around 250 hostages. the war has killed more than 34,000 palestinians, caused vast destruction in several towns and cities, and pushed northern gaza to the brink of famine. dear mayor bowser and chief smith, we are alarmed by reports that the metropolitan police department of the district of columbia (mpd) rejected requests from officials at george washington university (gwu) to assist in removing the radical, antisemitic, and unlawful protestors who have encamped on the university's campus and surrounding district of columbia public land for several days. it is deeply disturbing that while gwu has attempted to take concrete measures to protect the safety of its jewish student body from persecution and harassment, it is hindered by the mpd's refusal to provide assistance clearing out the encampment, over fears of public criticism.' the mission statement of the mpd is ""to safeguard the district of columbia and protect its residents and visitors with the highest regard for the sanctity of human life... with a focus on service, integrity, and fairness by upholding our city's motto justitia omnibus - justice for all.""2 it is difficult to see how mpd is following its own mission statement when gwu, a respected institution in washington, d.c., has stated that the recent actions of protestors represent "". egregious violation of community trust and goes far beyond the boundaries of free expression and the right to protest."" the aforementioned statement from gwu comes after hundreds of protestors-including professional organizers with no relation to the university-forcibly breached barricades to gain entry into the encampment. further, after repeatedly breaking down the barricades which were reset by the gwu police, the protestors took the barricades, threw them into a pile and began celebrating.' gwu has consistently attempted to act in good faith for the wellbeing of its student population but has faced obstruction from the mpd and the office of the mayor. without assistance from the mpd, gwu is unable to clear the encampment and restore order because it lacks the manpower and jurisdiction to act on public land. the inaction of the mpd and the district of columbia is out of sync with police departments and local governments nationwide which have responded to similar requests for help from universities to clear out unlawful encampments in states such as missouri,' massachusetts,' and others. as you know, the constitution grants congress plenary legislative authority over the district of columbia in all cases. if the district of columbia and mpd refuse to exercise their authority to assist gwu in securing the safety of its students and faculty, congress will be obliged to exercise its legislative powers to do so. to assist our understanding of the issue and our ability to provide oversight, please provide answers to the following questions no later than may 9, 2024: ﻿﻿﻿1. why has the office of mayor bowser and mpd refused gwu's calls for assistance in clearing out the encampment of unlawful protesters on and adjacent to the campus? ﻿﻿﻿2. what conditions must be met before mpd will act to assist gwu in clearing out the encampment of unlawful protesters? ﻿﻿﻿3. how is mpd's refusal to assist gwu in clearing out the unlawful and antisemitic protest encampment in keeping with mpd's own mission statement? this is a pivotal moment for washington, d.c.'s leaders. we call on you to answer fully for the reluctance to enforce the law. in the event you do not, congress will take the necessary actions to ensure this failure will not be repeated. sincerely, virginia foxx chairwoman | committee on education and the workforce james comer chairman | committee on oversight and accountability the associated press contributed to this report",Other,northwest,
dc police launch undercover initiative to tackle rising retail crimes,"d.c. police are cracking down on retail crimes, sending a warning to criminals with a new initiative.",,"fox 5 exclusive-d.c. police are cracking down onretail crimes,sending a warning to criminals with a new initiative. many of us have walked into cvs, target, or drug stores in the district to see products behind lock and key - deodorants, detergents, makeup, and more. for workers and customers alike, it's been a frustrating trend. ""the entire pharmaceutical, health, and beauty section is locked up,"" said angela malone, a d.c. resident. ""it's inconvenient. it's one of those sayings, 'this is why we can't have nice things.'"" this is whyd.c. policeare trying to be proactive now. they're teaming up with retail stores, and posing undercover to crack down on the crimes and catch thieves in the act. investigators told fox 5 that in the last few months, they have made dozens of arrests; many of them, repeat offenders. some of the items that were stolen and recovered can be seen in photos:  candy, chips, toothbrushes, and shampoos. a lot of these stolen items are then resold on street corners. ""i think it is sad that we have to do something like that, but they're trying to protect their investment, which i understand,"" malone said. ""i just wish we could all have respect for one another, the hard work the employees are trying to do in there."" back in february, fox 5 reported about thecvs store in columbia heightsshutting its doors, citing retail thefts. video showed aisles and aisles of empty shelves after shoplifters ransacked the place over and over again. colin hall is the first district commander for d.c. police. in an exclusive interview with fox 5, hall said closures like that hurt the community because people can't get hygiene products or medications as close as they could. and he said he hopes this crackdown sends a strong message. ""we reduce the thefts in these places where it's really a deterrent. people don't think they can just come in and steal things off the shelves and walk out and there's going to be no repercussions,"" hall said. hall said they will be doing these undercover operations every week throughout the city. ""it's been very successful. we've arrested dozens of people doing this. we've gotten drugs off the streets by doing this, we've even gotten a couple of firearms as well,"" hall explained. when we asked hall what he would say to people living in the district who feel there may be more serious crimes to focus on - he said they can do both, they are doing both - and these thefts are serious crimes in their eyes. ""this is just one piece of the puzzle and like i was saying, we do apprehend people who have firearms, so by doing this, we're able to connect other crimes people that are wanted for like robberies,"" hall said. in the last month, records show the d.c. u.s. attorney's office has indicted seven people for cvs thefts; all of them facing felony charges. they range in age from 26 to 64 years old.",Burglary,,
"candiace dillard bassett, former real housewives of potomac star welcomes newborn son","former real housewives of potomac star, candiace dillard bassett welcomed her newborn son alongside her husband, chris bassett.",,"washington, d.c.-former real housewives of potomac star, candiace dillard bassett welcomed her newborn son alongside her husband, chris bassett. read more: candiace dillard bassett pregnant: ‘i wish i had known about ivf sooner' the singer revealed the news in a full exclusive photoshoot with people magazine. she shared that the two welcomed their son, jett maxwell lee bassett — on thursday, oct. 3. ""he is just the cutest little thing,"" bassett told people in an interview for their latest issue. ""chris and i couldn't be happier. it's so cliché to say, but he's brought such joy to our lives in ways i never would have been able to describe before. it's pure love!"" ""i just look at him and envision all the adventures we’re going to have,"" she continues. ""throughout my pregnancy, when i would talk to him in my stomach, i would say, 'i can't wait to see who you're going to be.' and that's been the joy in my heart that's continued after his birth. it's exciting to think about. i'm so ready for a lifetime of being on the sidelines, cheering him on."" bassett sat down with fox 5's marissa mitchell on the series""motivation with marissa""shortly after she decided to walk away from the show after six seasons and to take a ""break."" she detailed her in-vitro fertilization journey and more. ""i have built my life on the show. i got married on the show. you watched me go through ivf on the show, buy my first home with my husband on the show, fight with my mama on the show, fight with the ladies, love on the ladies. you’ve seen me grow,"" she told mitchell. ""i started at 31 and i’m 37 now. it’s insane to think about."" bassett shared that she wants to share her journey to motherhood on a larger platform.",Not relevant ,Not relevant,Not relevant 
dc police id victim in deadly shooting on jasper street in southeast,authorities have identified a man was killed sunday night in a shooting on a southeast d.c. street.,,"washington-authorities have identified a man was killed sunday night in a shooting on a southeast d.c. street. police say the shooting was reported just after 10 p.m. in the 2700 block of jasper street. officers arrived and found the man, identified as 31-year-old william hargrove of capitol heights, md., suffering from gunshot wounds. he was pronounced dead at the scene. no suspects or motives have been identified at this time. a $25,000 reward is being offered in the case.",Homicide,Southeast,Adult male 
2 teens injured in overnight double shooting in southeast dc,the metropolitan police department is seeking the public’s assistance in locating a suspect's vehicle involved in a double shooting in southeast.,,"washington-themetropolitan police departmentis seeking the public’s assistance in locating a suspect's vehicle involved in a double shooting insoutheast. police say on friday, january 26, around 9:55 p.m., officers responded to the 1200 block of i street for the report of sounds of gunshots. upon arrival, officers located an 18-year-old man and an 18-year-old woman with gunshot wound injuries. they were both transported to local hospitals for treatment. read more:over 60 cars broken into overnight in northwest dc in less than 72hrs: police the suspect’s vehicle is described as a white suv, and was captured by a surveillance camera. the suspect has been described as wearing dark clothing, light color shoes, light and colored gloves, and armed with a gun. anyone with any information on this incident is asked to contact police.",Assault w/dangerous weapon,southeast,"Teen male, teen female "
dc police investigate overnight homicide morning following halloween,d.c. police are investigating after a man was shot and killed halloween night in northeast washington.,,"washington-d.c. policeare investigating an overnight homicide after a man wasshot and killedthe morning following halloween in northeast washington. the shooting happened just before 4 a.m. friday morning in the 4400 block of benning road. originally, officials said the shooting happened late thursday night. authorities say the victim was suffering from a gunshot wound when officers found him unconscious and not breathing. he died at the scene. no suspects or motives have been identified. the investigation is continuing.",Homicide,Northeast,
friend remembers wssc worker killed by suspected drunk driver while on the job,fox 5 is speaking exclusively with the friend of a washington suburban sanitary commission employee who died while on the job early sunday.,,"fox 5 exclusive-fox 5 spoke exclusively with the friend of a washington suburban sanitary commission employee who died while on the job early sunday. the utility company andmontgomery countypolice say 39-year-old ernest dyson was hit by a drunk driver. the crash happened around 4:45 a.m. sunday on new hampshire avenue near hillendale local park while dyson and his team were performing emergency repairs on a water main break. a black volkswagen was driving southbound when the driver struck dyson, killing him. police say the driver stayed at the scene after the crash. at this time, though, no charges have been filed. montgomery county police say they’re continuing their investigation, and in cases like these, they will finish crash reconstruction and then hand the case over to the state’s attorney’s office for a charging decision. wssc says dyson was a supervisor who had been with the company for 18 years and that he was the embodiment of professionalism and public service. they called the tragedy senseless, and say it’s a reminder of the dangers these employees face as they perform critical repairs while many of us sleep. fox 5 spoke with dyson’s friend, vic. he does not work for wssc, but for a company that helps with traffic control while crews are doing work. ""being around him, you could tell that he was a family-type guy because he didn’t just order lunch for wssc, he would order pizzas and stuff for all of us. and right now, just thinking about what a good person he was,"" vic said. he says dyson ran a tight ship but genuinely cared for the wssc employees he supervised and the traffic control teams who assisted, oftentimes buying them food while out on a job when he didn’t have to. vic said his thoughts are with dyson’s family. ""to his family, my heartfelt condolences. my heartfelt prayers,"" vic said. ""i pray that god will give you the strength during this difficult time. because i don’t know how you’d handle something like that from loved ones where you just go out to work. i’ll see you in a little while, and then you just never come home. you just never come home."" fox 5 reached out to wssc tuesday to see if all safety and security measures were being followed on sunday morning when the crash happened. in a statement, wssc says safety is paramount and that ""wssc water is fully cooperating with maryland occupational safety and health,"" noting that it’s standard protocol for mosh to investigate work-related deaths.",Homicide,,Adult male
city under siege: woman recovering after shooting; man shot in the elbow,authorities are investigating several shootings reported overnight in the district.,,"washington-authorities are investigating several shootings reported overnight in the district. just before 9 p.m., officers were called to investigate a shooting in the 5000 block of blaine street in the northeast. between 10 p.m. and 1:30 a.m., officers were called to savannah street where a woman was shot, marion barry avenue where a man was shot in the leg, and m street in the southeast to investigate after gunfire was reported. a possible stabbing was reported in the 100 block of n street around 11:30 p.m. tuesday night. police say a man was shot in the elbow just after 2 a.m. in the 2500 block of pennsylvania avenue in what appears to be a possible armed robbery attempt. the victims in all the shooting are expected to survive. police have not released any information regarding suspects or motives.","Robbery, assault w/dangerous weapon","Northeast, southeast","Adult male, adult female "
manhunt continues for homicide suspect who escaped george washington hospital,a manhunt continues thursday morning for a homicide suspect who escaped custody at george washington hospital.,,"washington-a manhunt continues thursday morning for a homicide suspect who escaped custody at george washington hospital. police say 30-year-old christopher haynes was last seen around 3:30 p.m. wednesday in the area of the hospital in the 900 block of 23rd street. haynes is described as a black male, six-feet-tall, approximately 205 pounds with a medium brown complexion. he has black hair and brown eyes. when last seen he was wearing a black t-shirt and gray shorts underneath a white body suit. he has shoulder-length dreadlocks, and is wearing one red shoe. he is not handcuffed. anyone with information is asked to contact police at 202-727-9099. anonymous information may be submitted to the department’s text tip line by sending a text message to 50411. nearby george washington university issued a temporary shelter in place order wednesday just before 4 p.m. as police searched for haynes. the shelter in places was lifted wednesday night. a police presence is still expected in the area as the search for haynes continues. university officials advised the school community to ""exercise caution when moving around the foggy bottom campus."" all evening events and activities were canceled wednesday. school officials also encouraged faculty to hold classes remotely where possible. the fbi is offering a reward of $10,000 for information that leads to haynes’ arrest.",Homicide,Northwest,Adult male 
"dc police release photos, video of suspect wanted in sexual assault",police have released photos of a suspect wanted in a sexual assault that took place in southeast this week.,,"washington-police have released photos of a suspect wanted in a sexual assault that took place in southeast this week. investigators say at approximately 6:30 p.m. on monday, april 1, the suspect sexually assaulted a victim inside of a residential building, in the 1400 block of l street, southeast. the victim told police that the man forced them to engage in an unwanted sexual act at knifepoint. the suspect then fled the scene. the suspect was captured by nearby surveillance cameras. anyone who can identify this suspect or who has knowledge of this incident is asked to call police at (202) 727-9099 or text a tip to 50411. a $1,000 reward is being offered for information.",Sex abuse,southeast,"Adult male, adult female "
dc ranked 8th best place to celebrate fourth of july,"washington, d.c. is the eighth best place in the country to celebrate the fourth of july, according to a new study by wallethub.",,"washington-washington, d.c. is the eighth-best place in the country to celebrate the fourth of july, according to a new study bywallethub. the personal finance company compared the 100 largest u.s. cities based on how much holiday fun you can have on a budget. the study was based on 18 key metrics, including average beer and wine prices, to the duration of fireworks shows. the study also looked at the fourth of july weather forecast. the study also took safety into account, looking at crime rates, dui-related fatalities, and deadly pedestrian crashes. los angeles, new york, seattle, las vegas, minneapolis, san francisco, and san diego came in ahead of the nation’s capital. st. paul and st. louis rounded out the top 10. in virginia, virginia beach ranked 35, norfolk ranked 51, and chesapeake ranked 59. in maryland, baltimore ranked 41.",Not relevant,Not relevant ,Not relevant 
3 teens arrested for armed carjackings in dc: police,d.c. police arrested three teens in connection to two armed carjackings.,,"washington-d.c. police arrested three teens in connection to two armedcarjackings. police say the 14, 15 and 16-year-old suspects committed the first offense around 11:40 p.m. on sunday, oct. 8. the victim in this case said the suspects approached her car in the 200 block of 58th street,northeast, pointed firearms at her and demanded that she get out of the car. she complied and the suspects fled in her car. the next incident took place in the early morning hours on monday, oct. 9. around 2:23 a.m. the teens went up to a man sitting in his car in the 1600 block of 21st place,southeast. they once again pulled out firearms and demanded the victim’s property. the suspects then fled in the victim’s car. shortly after the second carjacking, a seat pleasant police department officer spotted both stolen vehicles. through a joint effort themetropolitan police department, theseat pleasantpolice department and thefairfax countypolice department, all three suspects were apprehended. on oct. 9, a 14-year-old juvenile male, a 15-year-old juvenile male and a 16-year-old juvenile male, all of northeast, dc, werearrested and chargedwith armed carjacking (gun).",Motor vehicle theft,"Northeast, southeast",Teen male
dc father who lost 3 sons to violence still seeks meeting with city officials; mayor says 'no',a d.c. father continues his quest for answers after losing three sons to violent crimes in the district.,,"washington-ad.c. fathercontinues his quest for answers after losing three sons to violent crimes in the district. john evans is the father of 14-year-old avion evans who died april 4 after authorities say he was shot and killed atthe brookland metro stationin northeast d.c. avion’s death comes eight years after his older brother johnny evans iii was stabbed to death at the deanwood metro station in april 2016. the family went through another loss last may when avion’s half-brother john coleman was reportedly shot on m street, ne. evans said he was doing handiwork for a neighbor. evans said the family has heard from the office of neighborhood safety and engagement, but he would like to speak with d.c. leadership about crime concerns. fox 5 asked d.c. mayor muriel bowser about the shooting on april 10. ""i’m not going to talk about their concerns with you. i’ll talk to them about it because obviously, that’s troubling to us,"" she said on april 10. thursday will mark three weeks since avion’s death. evans said as of wednesday, his family still hasn’t heard from the mayor. fox 5 askedmayor muriel bowseron wednesday if she has spoken with the family since the shooting. ""i don’t talk about my discussions with families,"" bowser said wednesday. fox 5 followed up by clarifying that the intention was not to ask the mayor to divulge private conversations. our question was whether she planned to meet with the evans family at all. ""no,"" bowser answered. when fox 5 asked why she did not have plans to meet the evans family, her response at the press event was, ""i’ve answered your question. any other questions?"" evans said he was disappointed in the response from the mayor. victim specialists are available through themetropolitan police department, which has a branch dedicated to services. ashley mchenry serves as a specialist and says the office strives to meet with every victim or family member of the victims, depending on the situation. ""whether they choose to move forward with the case or they don’t, we make sure they have those wrap-around services to help them,"" mchenry said. specialists serve as a liaison between victims and detectives, she told fox 5. ""you just imagine your darkest day and having someone calling you with a comforting voice to tell you, you don’t have to understand everything right now but you have someone there that’s going to walk you through this process after such a traumatic event takes place. that’s what we’re here to do at victims’ services branch,"" she explained. for more information on the mpd victim services’ branch,click here.",Homicide,Northeast,Teen male 
"surveillance video captures 2 suspects wanted in dc armed robbery, shooting: police",d.c. police have released surveillance video they say captured two suspects wanted in an armed robbery and a separate shooting in northeast washington.,11/06/2023,"washington-d.c.police have released surveillance video they say captured two suspects wanted in anarmed robbery and a separate shootingin northeast washington. it was around 6:45 p.m. on october 4 when investigators say the two pulled a gun on a victim in the 4400 block of nannie helen burroughs avenue and took his property. just after 7 p.m. that same night, officers say the same suspects fired shots that struck a person in the 500 block of 49th place. the victim suffered injuries not considered to be life threatening. the suspects fled in a gray vehicle that was also caught on video. anyone who can identify these suspects is asked to call police at 202-727-9099 or text your tip to the department's text tip line at 50411. a reward of up to $10,000 is being offered to anyone who provides information that leads to the arrest and conviction.","Assault w/dangerous weapon, robbery",Northeast,
"dc councilman accused of taking $156k in bribes, pleads not guilty",d.c. councilmember trayon white pleaded not guilty in federal court thursday afternoon to charges of bribery.,,"washington-d.c. councilmember trayon whitepleaded not guilty in federal court thursday afternoon to charges of bribery. white, who represents ward 8, faces allegations of accepting $156,000 in bribes in exchange for influencing d.c. agencies to extend violence intervention contracts to an associate — who, unbeknownst to white, was an fbi informant. white’s arraignment took place at the u.s. district courthouse just after 12:30 p.m. although white did not speak during the proceedings, his defense attorney, frederick cook, entered the not-guilty plea on his behalf. the bribery charges stem from white allegedly using his position to secure contracts for his associate, aimed at resolving disputes before they escalated into violence. the council member has not publicly responded to the corruption allegations. outside the courtroom, cook was tight-lipped when asked by reporters about the scope of evidence the defense would need to review. ""i can't talk about that,"" cook said when pressed on the volume of discovery material involved in the case. white has not commented on the charges and left the courthouse without answering questions from reporters. his case will continue in november.",Other ,,Adult male 
